title,author,genre,image_url,isbn,location_code
The Sea of Trolls,Nancy Farmer,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840959l/100476.jpg,689867468,K4-T1-H2-V21
The Sea of Trolls,Nancy Farmer,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840959l/100476.jpg,689867468,K4-T1-H2-V22
The Sea of Trolls,Nancy Farmer,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840959l/100476.jpg,689867468,K4-T1-H2-V23
The Sea of Trolls,Nancy Farmer,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840959l/100476.jpg,689867468,K4-T1-H2-V24
Trouble with Trolls,Jan Brett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348763242l/100480.jpg,698117913,K4-T1-H2-V25
Trouble with Trolls,Jan Brett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348763242l/100480.jpg,698117913,K4-T1-H2-V26
Trouble with Trolls,Jan Brett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348763242l/100480.jpg,698117913,K4-T1-H2-V27
Trouble with Trolls,Jan Brett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348763242l/100480.jpg,698117913,K4-T1-H2-V28
The Troll Bridge,"Jane Yolen,Adam Stemple",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388375392l/100489.jpg,765314266,K4-T1-H2-V29
The African Safari Discovery,"Josh Greenhut,Macky Pamintuan,Jeff Brown",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348457185l/10049397.jpg,62036092,K4-T1-H2-V30
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway","Lise Lunge-Larsen,Betsy Bowen",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094012l/100493.jpg,618354034,K4-T1-H2-V31
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway","Lise Lunge-Larsen,Betsy Bowen",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094012l/100493.jpg,618354034,K4-T1-H2-V32
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway","Lise Lunge-Larsen,Betsy Bowen",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094012l/100493.jpg,618354034,K4-T1-H2-V33
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway","Lise Lunge-Larsen,Betsy Bowen",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094012l/100493.jpg,618354034,K4-T1-H2-V34
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway","Lise Lunge-Larsen,Betsy Bowen",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094012l/100493.jpg,618354034,K4-T1-H2-V35
"The World Guide to Gnomes, Fairies, Elves and Other Little People",Thomas Keightley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,517263130,K4-T1-H2-V36
"The World Guide to Gnomes, Fairies, Elves and Other Little People",Thomas Keightley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,517263130,K4-T1-H2-V37
"The World Guide to Gnomes, Fairies, Elves and Other Little People",Thomas Keightley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,517263130,K4-T1-H2-V38
"The World Guide to Gnomes, Fairies, Elves and Other Little People",Thomas Keightley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,517263130,K4-T1-H2-V39
"The World Guide to Gnomes, Fairies, Elves and Other Little People",Thomas Keightley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,517263130,K4-T1-H2-V40
